Vertex1,Vertex2,Type,Date,Text,Link,Likes,Quotes,Retweets,Comments
@justdancegame,https://twitter.com/justdancegame/status/1784991043995181407#m,Posted,"Apr 29, 2024 · 5:00 PM UTC",Show off your best moves this International Dance Day! Download Just Dance Now on your smartphone here: https://justdancenow.com/,https://twitter.com/justdancegame/status/1784991043995181407#m,355,3,47,19
@justdancegame,@originaluser,Retweet,"Apr 29, 2024 · 5:00 PM UTC",Show off your best moves this International Dance Day! Download Just Dance Now on your smartphone here: https://justdancenow.com/,https://twitter.com/justdancegame/status/1784991043995181407#m,,,,
@assassinscreed,https://twitter.com/assassinscreed/status/1783526472906334407#m,Posted,"Apr 25, 2024 · 4:00 PM UTC",Take a trip down memory lane in Baghdad with the classic Assassin’s Creed filter.  #AssassinsCreed,https://twitter.com/assassinscreed/status/1783526472906334407#m,2554,19,192,66
@assassinscreed,@originaluser,Retweet,"Apr 25, 2024 · 4:00 PM UTC",Take a trip down memory lane in Baghdad with the classic Assassin’s Creed filter.  #AssassinsCreed,https://twitter.com/assassinscreed/status/1783526472906334407#m,,,,
@Ubisoft,https://twitter.com/Ubisoft/status/1783139985689895112#m,Posted,"Apr 24, 2024 · 2:24 PM UTC",Looking sharp 🗡  #AssassinsCreed,https://twitter.com/Ubisoft/status/1783139985689895112#m,1556,23,145,109
@skullnbonesgame,https://twitter.com/skullnbonesgame/status/1782801659422200160#m,Posted,"Apr 23, 2024 · 4:00 PM UTC",Gear up for the thrilling last stand of La Peste and his Fleet of Pestilence and earn exclusive rewards! 🏴‍☠️  Skull and Bones is now 50% off! 👉 https://ubi.li/pJFc4 🌊,https://twitter.com/skullnbonesgame/status/1782801659422200160#m,223,3,35,75
@skullnbonesgame,@originaluser,Retweet,"Apr 23, 2024 · 4:00 PM UTC",Gear up for the thrilling last stand of La Peste and his Fleet of Pestilence and earn exclusive rewards! 🏴‍☠️  Skull and Bones is now 50% off! 👉 https://ubi.li/pJFc4 🌊,https://twitter.com/skullnbonesgame/status/1782801659422200160#m,,,,
@Brawlhalla,https://twitter.com/Brawlhalla/status/1781769435809747167#m,Posted,"Apr 20, 2024 · 7:38 PM UTC","Darth Maul flips into Brawlhalla, Dual-Bladed Lightsaber in hand, May 1st.",https://twitter.com/Brawlhalla/status/1781769435809747167#m,2926,106,253,161
@Brawlhalla,@originaluser,Retweet,"Apr 20, 2024 · 7:38 PM UTC","Darth Maul flips into Brawlhalla, Dual-Bladed Lightsaber in hand, May 1st.",https://twitter.com/Brawlhalla/status/1781769435809747167#m,,,,
@PlayXDefiant,https://twitter.com/PlayXDefiant/status/1781378479692325189#m,Posted,"Apr 19, 2024 · 5:45 PM UTC","Play XDefiant for free today in the Server Test Session on PC, PS5, and Xbox Series X|S and unlock rewards to keep when the game launches. Tune in for a look at the action as Ubisoft News plays live now on twitch.tv/ubisoft.",https://twitter.com/PlayXDefiant/status/1781378479692325189#m,2278,43,227,334
@PlayXDefiant,@originaluser,Retweet,"Apr 19, 2024 · 5:45 PM UTC","Play XDefiant for free today in the Server Test Session on PC, PS5, and Xbox Series X|S and unlock rewards to keep when the game launches. Tune in for a look at the action as Ubisoft News plays live now on twitch.tv/ubisoft.",https://twitter.com/PlayXDefiant/status/1781378479692325189#m,,,,
@Ubisoft,https://twitter.com/Ubisoft/status/1781323379762417839#m,Posted,"Apr 19, 2024 · 2:06 PM UTC",It's not a mirage 🏝   Leap into your weekend with the #AssassinsCreed Mirage free trial! Play 2 hours and keep your progression when you buy: assassinscreed.com/mirage/fr…,https://twitter.com/Ubisoft/status/1781323379762417839#m,630,8,67,132
@ForHonorGame,https://twitter.com/ForHonorGame/status/1781004850320359699#m,Posted,"Apr 18, 2024 · 5:00 PM UTC","Join the Assassin's Order! Unveiling the legendary Ezio Auditore as a Peacekeep Hero Skin in For Honor!  Available April 25th, 2024  #ForHonor #AssassinsCreed",https://twitter.com/ForHonorGame/status/1781004850320359699#m,2483,93,326,112
@ForHonorGame,@originaluser,Retweet,"Apr 18, 2024 · 5:00 PM UTC","Join the Assassin's Order! Unveiling the legendary Ezio Auditore as a Peacekeep Hero Skin in For Honor!  Available April 25th, 2024  #ForHonor #AssassinsCreed",https://twitter.com/ForHonorGame/status/1781004850320359699#m,,,,
@skullnbonesgame,https://twitter.com/skullnbonesgame/status/1780974605710086320#m,Posted,"Apr 18, 2024 · 3:00 PM UTC",Skull and Bones is now 50% off! 👉 https://ubi.li/pJFc4  Try the game for free and carry over your progression with our Free Trial 🌊💀,https://twitter.com/skullnbonesgame/status/1780974605710086320#m,334,51,59,213
@skullnbonesgame,@originaluser,Retweet,"Apr 18, 2024 · 3:00 PM UTC",Skull and Bones is now 50% off! 👉 https://ubi.li/pJFc4  Try the game for free and carry over your progression with our Free Trial 🌊💀,https://twitter.com/skullnbonesgame/status/1780974605710086320#m,,,,
